Nama Lokasi,Latitude,Longitude,Alamat,Deskripsi,Kategori,Kategori_ID,Confidence_Score,Manual_Review
Omah Jowo Bandar Lampung,-5.3869734,105.2243882,"Jl. Inpres II, Langkapura, Kec. Kemiling, Kota Bandar Lampung, Lampung 35151 ",,kuliner,4,1.0,True
Shabu Kitchen,-5.3817916,105.2596192,"Boemi Kedaton Mall, Jl. Teuku Umar No.6, Kedaton, Bandar Lampung City, Lampung 35132 ",,kuliner,4,1.0,False
Taman Santap Rumah kayu,-5.3935947,105.2814296,"Jl. Arif Rahman Hakim No.45, Jagabaya III, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122 ",,alam,1,1.0,False
Mie Khodon,-5.4465025,105.2629835,"Jl. Ikan Bawal No.22, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35221 ",,kuliner,4,1.0,True
Warung Jontor Bandar Lampung,-5.3759055,105.2456876,"Jl. ZA. Pagar Alam, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35148 ",,kuliner,4,1.0,False
Mie Lampung II,-5.4206261,105.2584021,"Jl. Raden Intan No.99/3, Enggal, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35118 ",,kuliner,4,1.0,True
KANTIN MUTIARA (Makanan Khas Palembang & Aneka Minuman),-5.3631989,105.2457639,"Jalan Bumi Manti RT. 01 / LK 1, Kp. Baru, Kec. Kedaton, Kota Bandar Lampung, Lampung 35141 ",,kuliner,4,1.0,False
Kuliner Mak Hera by Granny's Nest,-5.405789,105.2787357,"Jl. Pulau Sebuku Jl. P. Antasari No.9, Tj. Baru, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,False
Raja Kuring,-5.424418,105.279935,"Jl. Yasir Hadi Broto No.31, Tj. Gading, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,True
Ayam penyet surabaya,-5.3809604,105.269484,"Jalan Sultan Agung No. 12 Labuhan Ratu, Sepang Jaya, Kec. Kedaton, Kota Bandar Lampung, Lampung 35141 ",,kuliner,4,1.0,True
Pempek 123 - Teuku Umar,-5.398374,105.261113,"Jl. Teuku Umar No.36E, Sidodadi, Kec. Kedaton, Kota Bandar Lampung, Lampung 35123 ",,kuliner,4,1.0,True
Pempek Nony 168 - Bandar Lampung,-5.4417747,105.2718638,"Jl. Salim Batubara, Kupang Teba, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 30126 ",,kuliner,4,1.0,True
Mr. Sumo - Lampung City Mall,-5.4427476,105.28021,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226 ",,kuliner,4,1.0,True
"Onago Kitchen, Lampung City Mall",-5.4437739,105.2804036,"Jl. Yos Sudarso No.80, Bumi Waras, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35226 ",,kuliner,4,1.0,False
Pindang Meranjat Mak War,-5.4153133,105.2634357,"Jl. Dr. Harun 1 No.21, Kota Baru, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,True
Marugame Udon Lampung City Mall,-5.4435917,105.2802959,"Jl. Yos Sudarso No.44, Tlk. Betung, Kec. Bumi Waras, Kota Bandar Lampung, Lampung 35226 ",,kuliner,4,1.0,True
RM. Ratu Foody,-5.4289674,105.2772547,"Jl. Perintis Kemerdekaan No.189, Tj. Gading, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35128 ",,kuliner,4,1.0,False
